[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
135520,Sobrantes en liquidación privada de impuestos,Sobrantes en liquidación privada de impuestos,Asset,E,,No,,1355,,,,,,,,,,  
135525,Contribuciones,Contribuciones,Asset,E,,No,,1355,,,,,,,,,,  
135530,Impuestos descontables,Impuestos descontables,Asset,E,,No,,1355,,,,,,,,,,  
135595,Otros,Otros,Asset,E,,No,,1355,,,,,,,,,,  
1360,Reclamaciones,Reclamaciones,Asset,E,,Yes,,13,,,,,,,,,,  
136005,A compañías aseguradoras,A compañías aseguradoras,Asset,E,,No,,1360,,,,,,,,,,  
136010,A transportadores,A transportadores,Asset,E,,No,,1360,,,,,,,,,,  
136015,Por tiquetes aéreos,Por tiquetes aéreos,Asset,E,,No,,1360,,,,,,,,,,  
136095,Otras,Otras,Asset,E,,No,,1360,,,,,,,,,,  
1365,Cuentas por cobrar a trabajadores,Cuentas por cobrar a trabajadores,Asset,E,,Yes,,13,,,,,,,,,,  
136505,Vivienda,Vivienda,Asset,E,,No,,1365,,,,,,,,,,  
136510,Vehículos,Vehículos,Asset,E,,No,,1365,,,,,,,,,,  
136515,Educación,Educación,Asset,E,,No,,1365,,,,,,,,,,  
136520,Médicos, odontológicos y similares,Médicos, odontológicos y similares,Asset,E,,No,,1365,,,,,,,,,,  
136525,Calamidad doméstica,Calamidad doméstica,Asset,E,,No,,1365,,,,,,,,,,  
136530,Responsabilidades,Responsabilidades,Asset,E,,No,,1365,,,,,,,,,,  
136595,Otros,Otros,Asset,E,,No,,1365,,,,,,,,,,  
1370,Préstamos a particulares  ,Préstamos a particulares  ,Asset,E,,Yes,,13,,,,,,,,,,  
137005,Con garantía real,Con garantía real,Asset,E,,No,,1370,,,,,,,,,,  
137010,Con garantía personal,Con garantía personal,Asset,E,,No,,1370,,,,,,,,,,  
1380,Deudores varios,Deudores varios,Asset,E,,Yes,,13,,,,,,,,,,  
138005,Depositarios,Depositarios,Asset,E,,No,,1380,,,,,,,,,,  
138010,Comisionistas de bolsas,Comisionistas de bolsas,Asset,E,,No,,1380,,,,,,,,,,  
138015,Fondo de inversión,Fondo de inversión,Asset,E,,No,,1380,,,,,,,,,,  
138020,Cuentas por cobrar de terceros,Cuentas por cobrar de terceros,Asset,E,,No,,1380,,,,,,,,,,  
138025,Pagos por cuenta de terceros,Pagos por cuenta de terceros,Asset,E,,No,,1380,,,,,,,,,,  
138030,Fondos de inversión social,Fondos de inversión social,Asset,E,,No,,1380,,,,,,,,,,  
138095,Otros,Otros,Asset,E,,No,,1380,,,,,,,,,,  
1385,Derechos de recompra de cartera negociada,Derechos de recompra de cartera negociada,Asset,E,,Yes,,13,,,,,,,,,,  
1390,Deudas de difícil cobro,Deudas de difícil cobro,Asset,E,,Yes,,13,,,,,,,,,,  
1399,Provisiones,Provisiones,Asset,E,,Yes,,13,,,,,,,,,,  
139905,Clientes,Clientes,Asset,E,,No,,1399,,,,,,,,,,  
139910,Cuentas corrientes comerciales,Cuentas corrientes comerciales,Asset,E,,No,,1399,,,,,,,,,,  
139915,Cuentas por cobrar a casa matriz,Cuentas por cobrar a casa matriz,Asset,E,,No,,1399,,,,,,,,,,  
139920,Cuentas por cobrar a vinculados económicos,Cuentas por cobrar a vinculados económicos,Asset,E,,No,,1399,,,,,,,,,,  
139925,Cuentas por cobrar a socios y accionistas,Cuentas por cobrar a socios y accionistas,Asset,E,,No,,1399,,,,,,,,,,  
139930,Anticipos y avances,Anticipos y avances,Asset,E,,No,,1399,,,,,,,,,,  
139932,Cuentas de operación conjunta,Cuentas de operación conjunta,Asset,E,,No,,1399,,,,,,,,,,  
139935,Depósitos,Depósitos,Asset,E,,No,,1399,,,,,,,,,,  
139940,Promesas de compraventa,Promesas de compraventa,Asset,E,,No,,1399,,,,,,,,,,  
139945,Ingresos por cobrar,Ingresos por cobrar,Asset,E,,No,,1399,,,,,,,,,,  
139950,Retención sobre contratos,Retención sobre contratos,Asset,E,,No,,1399,,,,,,,,,,  
139955,Reclamaciones,Reclamaciones,Asset,E,,No,,1399,,,,,,,,,,  
139960,Cuentas por cobrar a trabajadores,Cuentas por cobrar a trabajadores,Asset,E,,No,,1399,,,,,,,,,,  
139965,Préstamos a particulares,Préstamos a particulares,Asset,E,,No,,1399,,,,,,,,,,  
139975,Deudores varios,Deudores varios,Asset,E,,No,,1399,,,,,,,,,,  
139980,Derechos de recompra de cartera negociada,Derechos de recompra de cartera negociada,Asset,E,,No,,1399,,,,,,,,,,  
14,Inventarios,Inventarios,Asset,E,,Yes,,1,,,,,,,,,,  
1405,Materias primas,Materias primas,Asset,E,,Yes,,14,,,,,,,,,,  
140599,Ajustes por inflación  ,Ajustes por inflación  ,Asset,E,,No,,1405,,,,,,,,,,  
1410,Productos en proceso,Productos en proceso,Asset,E,,Yes,,14,,,,,,,,,,  
141099,Ajustes por inflación  ,Ajustes por inflación  ,Asset,E,,No,,1410,,,,,,,,,,  
1415,Obras de construcción en curso,Obras de construcción en curso,Asset,E,,Yes,,14,,,,,,,,,,  
141599,Ajustes por inflación  ,Ajustes por inflación  ,Asset,E,,No,,1415,,,,,,,,,,  
1417,Obras de urbanismo,Obras de urbanismo,Asset,E,,Yes,,14,,,,,,,,,,  
141799,Ajustes por inflación  ,Ajustes por inflación  ,Asset,E,,No,,1417,,,,,,,,,,  
1420,Contratos en ejecución,Contratos en ejecución,Asset,E,,Yes,,14,,,,,,,,,,  
