[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
69710,"Dotación a la provisión para insolvencias de créditos a largo plazo a empresas asociadas","Dotación a la provisión para insolvencias de créditos a largo plazo a empresas asociadas",Expense,B,,No,,6971,6,S,697,6971,B,O,697,69710,1237,630
69730,"Dotación a la provisión para insolvencias de créditos a largo plazo a otras empresas","Dotación a la provisión para insolvencias de créditos a largo plazo a otras empresas",Expense,B,,No,,6973,6,S,697,6973,B,O,697,69730,1238,631
69800,"Dotación a la provisión para valores negociables a corto plazo de empresas del grupo","Dotación a la provisión para valores negociables a corto plazo de empresas del grupo",Expense,B,,No,,6980,6,S,698,6980,B,O,698,69800,1239,633
69810,"Dotación a la provisión para valores negociables a corto plazo de empresas asociadas","Dotación a la provisión para valores negociables a corto plazo de empresas asociadas",Expense,B,,No,,6981,6,S,698,6981,B,O,698,69810,1240,634
69830,"Dotación a la provisión para valores negociables a corto plazo de otras empresas","Dotación a la provisión para valores negociables a corto plazo de otras empresas",Expense,B,,No,,6983,6,S,698,6983,B,O,698,69830,1241,635
69900,"Dotación a la provisión para insolvencias de créditos a corto plazo a empresas del grupo","Dotación a la provisión para insolvencias de créditos a corto plazo a empresas del grupo",Expense,B,,No,,6990,6,S,699,6990,B,O,699,69900,1242,637
69910,"Dotación a la provisión para insolvencias de créditos a corto plazo a empresas asociadas","Dotación a la provisión para insolvencias de créditos a corto plazo a empresas asociadas",Expense,B,,No,,6991,6,S,699,6991,B,O,699,69910,1243,638
69930,"Dotación a la provisión para insolvencias de créditos a corto plazo a otras empresas","Dotación a la provisión para insolvencias de créditos a corto plazo a otras empresas",Expense,B,,No,,6993,6,S,699,6993,B,O,699,69930,1244,639
70000,"Ventas de mercaderías","Ventas de mercaderías",Revenue,Credit,Yes,No,P_REVENUE_ACCT,700,6,S,700,#N/A,C,O,700,70000,1245,696
70100,"Ventas de productos terminados","Ventas de productos terminados",Revenue,Credit,Yes,No,UNEARNEDREVENUE_ACCT,701,6,S,701,#N/A,C,O,701,70100,1246,697
